a,b,,,
0x8DBE,0x9,,Æ«ÖÃ,0x100
0x8291,0x8,,,
0x8060,0xA,,x=a*y-(b<<5 - 0x100),
0x80F6,0x7,,,
0x805E,0xA,,,
0x8081,0x8,,,
0x8002,0x9,,,
0x7FF2,0x8,,,
0x80D4,0x8,,,
0x7FC2,0x9,,,
0x8016,0x8,,,
0x802C,0x9,,,
0x7FE6,0x8,,,
0x7F46,0x8,,,
0x7F0F,0x7,,,
0x7FAA,0xA,,,
0x8052,0x9,,,
0x7F6E,0x6,,,
0x7F8B,0x9,,,
0x7F46,0x8,,,
0x7F77,0x9,,,
0x8026,0x9,,,
0x80A7,0x7,,,
0x806C,0xA,,,
0x7FCE,0x8,,,
0x8082,0x9,,,
0x8044,0x8,,,
0x7F5B,0x8,,,
0x802B,0x6,,,
0x801B,0xA,,,
0x7F45,0x8,,,
0x80A0,0xA,,,
0x80B0,0x8,,,
0x8022,0x8,,,
0x8026,0x8,,,
0x7FE3,0xA,,,
0x804A,0x8,,,
0x7FB6,0x8,,,
0x7FB2,0x9,,,
0x80A1,0x8,,,
0x7F80,0x7,,,
0x806F,0x9,,,
0x7F3C,0x9,,,
0x8037,0x8,,,
0x7FC8,0x8,,,
0x7F9A,0x8,,,
0x805D,0x9,,,
0x8062,0x8,,,
0x7FEF,0x7,,,
0x8002,0xA,,,
0x8019,0x9,,,
0x805D,0x8,,,
0x80F3,0x9,,,
0x8018,0x7,,,
0x7FFC,0x9,,,
0x7FE6,0x8,,,
0x7FB8,0x8,,,
0x7FD2,0x9,,,
0x7FF5,0x9,,,
0x8009,0x8,,,
0x8046,0x8,,,
0x7FBF,0x9,,,
0x801A,0xA,,,
0x8081,0x7,,,
0x7F90,0x8,,,
0x7F2D,0x9,,,
0x80A2,0x8,,,
0x7F68,0x8,,,
0x7FEC,0xA,,,
0x8022,0x8,,,
0x8053,0x9,,,
0x7F8A,0x9,,,
0x7FFA,0x9,,,
0x8002,0x7,,,
0x804A,0x9,,,
0x7FE9,0xA,,,
0x807A,0x7,,,
0x80CA,0xA,,,
0x7FF7,0x9,,,
0x7FE8,0x8,,,
0x8190,0x9,,,
0x7F59,0x7,,,
0x7EE3,0x8,,,
0x80A4,0xA,,,
0x7FF3,0x8,,,
0x8018,0x7,,,
0x8036,0xA,,,
0x8051,0x8,,,
0x8028,0x7,,,
0x8005,0xB,,,
0x80B5,0xA,,,
0x8009,0x6,,,
0x7FDF,0x7,,,
0x808B,0x9,,,
0x8089,0xA,,,
0x7FCE,0x9,,,
0x7FBC,0x7,,,
0x7FC3,0x9,,,
0x8078,0xA,,,
0x807A,0x8,,,
0x7FC2,0x8,,,
0x7FC4,0x7,,,
0x8054,0xA,,,
