a_up,a_down,b_up,b_down,¹«Ê½£ºx=ay-(b+c)
0x8DAF,0x8E7B,0x95,0xAF,c=0x2000
0x8143,0x829D,0x88,0x81,
0x81DC,0x8189,0x82,0x8A,
0x80A8,0x81B8,0x6B,0x9E,
0x8185,0x8166,0x91,0x91,
0x80B8,0x808C,0x80,0x7B,
0x8071,0x8063,0x73,0x5D,
0x80B5,0x8104,0x79,0x85,
0x8170,0x8025,0x8E,0x6F,
0x8138,0x7FF9,0x7D,0xBD,
0x804C,0x80DB,0x84,0x8B,
0x80AC,0x8129,0x90,0x93,
0x7F74,0x8044,0x86,0x74,
0x7E6C,0x8010,0x66,0x7E,
0x7FE4,0x7F77,0x7C,0x83,
0x7D79,0x8046,0x5D,0xA2,
0x7FE5,0x806B,0x71,0x8D,
0x8081,0x8019,0x89,0x93,
0x7F6B,0x805A,0x70,0x82,
0x7FBB,0x8180,0x69,0x98,
0x8090,0x804C,0xA6,0x67,
0x7E6E,0x80F8,0x59,0xA3,
0x803A,0x80CA,0x89,0x96,
0x8057,0x800C,0x84,0x50,
0x808E,0x80CB,0x9F,0x9B,
0x80DA,0x801B,0x96,0xA1,
0x7FB6,0x8053,0x74,0x86,
0x8076,0x8165,0x74,0x9F,
0x7F9C,0x80BD,0x72,0x7D,
0x7FE7,0x7F9C,0x92,0x8D,
0x80B6,0x7FD8,0x8F,0x75,
0x7EC6,0x7F5C,0x61,0x8E,
0x7FD7,0x808B,0x6F,0x8E,
0x8063,0x7FAD,0x81,0x83,
0x7F53,0x8113,0x80,0x8F,
0x8062,0x8029,0x91,0x7D,
0x7F9E,0x7FFE,0x7F,0x86,
0x80B7,0x8030,0x85,0x8A,
0x80E9,0x7EE2,0x89,0x5A,
0x808A,0x801C,0x82,0x81,
0x7F5F,0x80AE,0x69,0x94,
0x8066,0x8024,0x74,0x69,
0x7F90,0x7EC0,0xAE,0x62,
0x7FB7,0x80FB,0x80,0x90,
0x7FC3,0x8014,0x6D,0x79,
0x801F,0x8023,0x7F,0x7F,
0x8010,0x8054,0xAB,0x74,
0x7FE6,0x8087,0x94,0x80,
0x802C,0x7FFF,0x66,0x7D,
0x800A,0x7F7F,0x96,0x86,
0x7F44,0x7FE4,0xAF,0x8C,
0x8055,0x7F79,0x6C,0xB4,
0x7FBB,0x80A5,0x76,0x9C,
0x80CD,0x8032,0x75,0x84,
0x7EAC,0x814F,0x73,0x96,
0x8062,0x80BD,0x7F,0x8B,
0x7F52,0x7FD8,0x84,0x7E,
0x806B,0x7FE0,0xA0,0xA1,
0x8028,0x8022,0x95,0x8D,
0x8000,0x8072,0x93,0x79,
0x8104,0x804B,0x8A,0x64,
0x8056,0x7FE8,0x77,0x7D,
0x801F,0x8033,0x72,0x80,
0x8047,0x8083,0xBA,0x80,
0x80C5,0x801C,0x79,0x9F,
0x8012,0x7F3D,0xA4,0xB3,
0x7F6A,0x7F67,0x82,0x90,
0x7FF5,0x8004,0x6B,0x8C,
0x8187,0x8084,0x8C,0x96,
0x7FB4,0x8083,0x8D,0x99,
0x8032,0x7FEE,0xA3,0x88,
0x806F,0x7FD3,0x7C,0x61,
0x7FF5,0x8127,0x74,0x97,
0x7FEE,0x7FF5,0x79,0x7F,
0x8056,0x8007,0xAC,0x91,
