0x912A,0x9166,0x9D,0xB6
0x827F,0x8233,0x8A,0x80
0x800B,0x8113,0x7E,0x89
0x80EA,0x800E,0x6B,0x99
0x806B,0x8042,0x8F,0x8E
0x80C2,0x7FD3,0x80,0x7A
0x7FFB,0x80BE,0x72,0x5E
0x7F87,0x80A8,0x77,0x85
0x8001,0x8034,0x8B,0x6F
0x805F,0x7F43,0x7B,0xBB
0x7FFE,0x7F81,0x83,0x88
0x8032,0x8012,0x8F,0x90
0x7F55,0x8000,0x85,0x73
0x7FF6,0x7F0D,0x69,0x7B
0x7F48,0x7F29,0x7A,0x83
0x7FE9,0x7FEA,0x62,0xA1
0x8037,0x802D,0x72,0x8C
0x7FC8,0x8039,0x87,0x93
0x7F6D,0x7F73,0x70,0x80
0x7FAF,0x8057,0x69,0x95
0x7F9A,0x808D,0xA3,0x68
0x803B,0x7FAD,0x5C,0xA0
0x800C,0x8013,0x89,0x95
0x7FAD,0x8036,0x82,0x50
0x8001,0x804E,0x9E,0x9A
0x8075,0x8013,0x95,0xA1
0x8059,0x8098,0x75,0x87
0x8014,0x8017,0x73,0x9C
0x7F8C,0x8001,0x72,0x7B
0x7FAF,0x8001,0x91,0x8D
0x7FE1,0x7FD9,0x8D,0x75
0x8109,0x7F38,0x66,0x8D
0x7FC8,0x8047,0x6F,0x8E
0x8024,0x7FA2,0x80,0x82
0x7F01,0x800B,0x7F,0x8C
0x7F8F,0x7FD5,0x8F,0x7C
0x7F82,0x7FD7,0x7F,0x86
0x7FC6,0x7FDB,0x83,0x89
0x7F88,0x7FE2,0x85,0x5B
0x8063,0x8004,0x81,0x81
0x8056,0x806B,0x6B,0x93
0x808D,0x808A,0x74,0x6A
0x7FBA,0x7FC6,0xAE,0x64
0x801D,0x8013,0x81,0x8E
0x8056,0x803E,0x6E,0x79
0x8053,0x8061,0x7F,0x7F
0x80A9,0x8017,0xAD,0x73
0x7FB8,0x80BF,0x94,0x81
0x8020,0x7FFC,0x67,0x7C
0x803C,0x7F24,0x96,0x84
0x8054,0x7FE3,0xB1,0x8C
0x802C,0x7FEB,0x6C,0xB4
0x7FB8,0x8030,0x76,0x9A
0x7FD5,0x802E,0x74,0x84
0x7FAE,0x804B,0x75,0x94
0x804A,0x7FB0,0x7E,0x89
0x7F98,0x7FC6,0x85,0x7E
0x7FE2,0x7FA4,0x9F,0xA0
